Profile ID,Advocacy,Advocacy Description,Product/Service,Product/Service Description,Organizational Optimization,Organizational Optimization Description,Research,Research Description,Other,Use - Other Description,Processed
1259,FALSE,,FALSE,,TRUE,Combines real estate data with transportation data to help choose the best location to live in terms of travel time to important places -  like schools,FALSE,,FALSE,,0
1270,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
1278,FALSE,,TRUE,SumoBrain makes all patents readily searchable,FALSE,,FALSE,,FALSE,,0
1286,FALSE,,FALSE,"Uses tagged financial statements to standardize and validate financial data, and offer higher quality data at lower prices for clients such as corporates, business schools, etc.",FALSE,,FALSE,,FALSE,,0
1295,FALSE,,TRUE,Weather apps such as Dark Sky. The data provided by Forecast.io is also used in the developement of 3rd party apps e.g. forecast.io/powered-by.html,FALSE,,FALSE,,FALSE,,0
1303,FALSE,,TRUE,CrimeBot app uses open crime data,FALSE,,FALSE,,FALSE,,0
1311,TRUE,"Transparencia Mexicana's research on transparency and ""Follow the Money"" intiative relies on public financial databases.",FALSE,,FALSE,,FALSE,,FALSE,,0
1321,FALSE,,TRUE,access the bus -  route and timetable data of bus organisations and government authorities.,FALSE,,FALSE,,FALSE,,0
1333,TRUE,"Advocate the values of equality, solidarity, tolerance, respect for nature and mutual responsibility. Aims to address world issues from poverty reduction to governance to finance to the environment.",FALSE,,FALSE,,FALSE,,FALSE,,0
1342,FALSE,,TRUE,solution â€˜In Context - Brendaâ€™ uses education open data,FALSE,,FALSE,,FALSE,,0
1350,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,0
1358,TRUE,"uses open data sources like Google, Education.com, Open Street Map, the U.S. Census, Localeze to promote walkable neighborhoods as one of the simplest and best solutions for the environment, health, and economy.",FALSE,provides walksource data to researchers; generated scoring and search technology to evaluate walkable/bikeable neighborhoods,FALSE,,FALSE,,FALSE,,0
1367,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
1377,TRUE,Advocates to end extreme poverty and promote shared prosperity by fostering the income growth.,FALSE,"Uses open data to conduct investigative research on global issue of poverty, and provide low-interest loans, zero to low-interest credits, as well as grants to developing countries.",FALSE,,FALSE,,FALSE,,0
1385,FALSE,,FALSE,"Use open geogrpahical data to create visualizations; combines geographical data with rental and mortage data to create the â€œBreakeven Horizonâ€ù , a metric that gives users a snapshot of how long they would need to own a home in a given area for the accrued cost of buying to be less than renting. ",TRUE,"uses aggregated open data to generate search portals for home buyers, sellers, and real estate agents",TRUE,uses data from the Census Bureau to generate market analysis to inform users of the best time to buy/sell property,FALSE,,0
i9KD88nLuz,TRUE,Uses open data to promote positive civic and media engagement in the electoral process and advocate for the inclusion and visibility of human rights principles in the development process and new constitution in Tanzania.,FALSE,,FALSE,,FALSE,,FALSE,,0
IjAfkACfSK,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
iNzMiS0yLe,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
IYHpnSCBnH,TRUE,,FALSE,,FALSE,,TRUE,,FALSE,,0
j8NNt0tf2k,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
jCIn6wfVlD,FALSE,,TRUE,"uses open data to provide governments and sectors that utilize open data with services include Analytics-as-a-Service,  Data Publishing, and Data Services.",FALSE,,FALSE,,FALSE,,0
jERsLMOk2L,FALSE,,TRUE,Online maps and navigation use open data on public transport routes -  businesses -  etc,FALSE,,FALSE,,FALSE,,0
JKHKDlmvCZ,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
JoL55Enng3,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,0
JvQDKcicYO,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,0
JYjbS05qR6,FALSE,,TRUE,"uses open data to provide consulting services which specialises in integrated, sustainable transport planning and research. ",FALSE,,FALSE,,FALSE,,0
k1PnlpnYre,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
K6IRDqUWqR,FALSE,,TRUE,"uses open data to create open database such as US financial network data, US financial license data, subsidiaries listed in SEC filings. It also provides premium services such as enterprise whitelisting service  ",FALSE,,FALSE,,FALSE,,0
Kch8GAzqv8,FALSE,,TRUE,an opensource of data repository to design accurate algorithms for clients,FALSE,,FALSE,,FALSE,,0
KGjjehBoKz,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
khnSKcNrlf,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,0
KjuSx7r3Bu,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,,0
KOLFqmzu0t,FALSE,,TRUE,uses open geospatial and housing data to provide uses with up-todate housing information,FALSE,,FALSE,,FALSE,,0
KruTHN8qA9,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
l1P6crAZjs,FALSE,,FALSE,"Uses open datas to create communication platforms among patients and professional doctors, on which professionals share specially-designed questionaires to communicate with patients efficiently.  The platform replaces traditional communication tools such as  cell phones, emails, etc.",FALSE,,FALSE,,FALSE,,0
ldu6QvOCBg,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
Lh7RPRCxmL,FALSE,,FALSE,,FALSE,,TRUE,We publish all the data collected (for others to reuse); visualizations,FALSE,,0
lNjUnne8bb,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
lpkBsRnCtU,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,0
lwV5IRFhNA,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
M3BfDfPYX7,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
mh4I8ZwPFL,TRUE,Uses open data such as geographical -  population -  and election data to improve public participation in redistricting.,FALSE,,FALSE,,FALSE,,FALSE,,0
MllHM4RKj4,TRUE,Provides infrastructure with the CKAN data portal platform -  promotes open data -  provides training -  undertakes a wide range of open data projects.,FALSE,,FALSE,,FALSE,,FALSE,,0
MPDrUXtx6t,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,0
muzolyBCkr,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,0
mxysKQN4ia,FALSE,,TRUE,Uses data of transactions in the property market.,FALSE,,FALSE,,FALSE,,0
n7OfGwlpes,TRUE,Publishes linked open data on behalf of various public sector bodies.,FALSE,,FALSE,,FALSE,,FALSE,,0
nezMkLcQiY,FALSE,,TRUE,"uses open data to provide software development and design services. The company conducts content audits, design content strategy, information architecture and strong user experiences and we also develop front-end user interfaces. ",FALSE,,FALSE,,FALSE,,0
nImUUIrhQF,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,,0
nPvrqdTgpY,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
nsZMk6I8Gs,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
NtzYrRFvaJ,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
nYev0u6u73,TRUE,Promotes and support the use of open data.,FALSE,,FALSE,,FALSE,,FALSE,,0
