time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-04-11T12:44:36.690Z,-6.7541,104.3261,35,5.1,mb,,118,3.552,0.83,us,us200025u9,2015-04-11T20:47:03.607Z,"143km W of Cangkeuteuk Sabrang, Indonesia",earthquake
2015-04-11T11:42:53.590Z,4.7817,124.9019,288.85,5.1,mb,,55,2.37,0.84,us,us200025u4,2015-04-11T19:45:38.895Z,"92km SW of Sarangani, Philippines",earthquake
2015-04-11T10:48:39.400Z,19.9542,-64.1023,52,3.4,Md,11,316.8,1.6043911,0.23,pr,pr15101005,2015-04-11T18:51:07.283Z,"178km NNE of Road Town, British Virgin Islands",earthquake
2015-04-11T10:36:36.930Z,40.2355003,-123.6626663,29.52,2.57,md,25,63,0.1202,0.1,nc,nc72429981,2015-04-11T12:59:04.448Z,"18km NE of Redway, California",earthquake
2015-04-11T10:07:23.800Z,-15.681,-172.8597,10,4.6,mb,,85,4.386,0.53,us,us200025tw,2015-04-11T18:10:03.471Z,"99km ENE of Hihifo, Tonga",earthquake
2015-04-11T09:56:36.760Z,32.4246667,-115.2126667,7.82,2.68,ml,16,101,0.07826,0.44,ci,ci37361624,2015-04-11T17:59:04.386Z,"8km NNW of Delta, B.C., Mexico",earthquake
2015-04-11T07:45:13.000Z,41.0966,142.8835,39.54,4.6,mb,,134,0.94,1.35,us,us200025tq,2015-04-11T15:47:56.437Z,"134km ENE of Hachinohe, Japan",earthquake
2015-04-11T07:28:01.000Z,63.5105,-149.0256,2.1,2.7,ml,,,,0.64,ak,ak11551110,2015-04-11T15:30:32.516Z,"13km NNW of Cantwell, Alaska",earthquake
2015-04-11T07:27:45.000Z,62.8913,-150.8266,96,2.6,ml,,,,0.22,ak,ak11551114,2015-04-11T18:30:53.288Z,"73km NNW of Talkeetna, Alaska",earthquake
2015-04-11T06:45:54.200Z,48.0525,-114.199,7.2,3.6,mc,12,248.399980128001,0.116781,0.4,mb,mb31284,2015-04-12T05:52:57.267Z,"3km SSE of Somers, Montana",earthquake
2015-04-11T06:32:08.500Z,19.0403,-65.0195,28,2.7,Md,7,270,0.72763538,0.25,pr,pr15101003,2015-04-11T14:34:42.508Z,"77km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-04-11T05:44:50.620Z,43.4308,-126.8748,10,4.2,mwr,,184,1.941,1.57,us,us200025te,2015-04-11T13:47:25.233Z,"203km W of Bandon, Oregon",earthquake
2015-04-11T05:21:10.890Z,2.0477,126.6084,66.84,4.9,mb,,98,1.476,0.93,us,us200025tb,2015-04-11T13:23:38.356Z,"159km WNW of Tobelo, Indonesia",earthquake
2015-04-11T05:00:42.210Z,2.1643,126.7328,47.02,5.3,mb,,84,1.521,1.22,us,us200025t9,2015-04-11T13:03:15.263Z,"149km WNW of Tobelo, Indonesia",earthquake
2015-04-11T04:29:01.980Z,6.4574,-73.0275,39.55,4.5,mb,,106,2.055,0.77,us,us200025t7,2015-04-11T12:28:20.802Z,"6km WSW of Mogotes, Colombia",earthquake
2015-04-11T04:22:01.970Z,33.9630013,-116.8154984,18.26,3.03,ml,97,21,0.05563,0.19,ci,ci37361456,2015-04-12T00:25:05.190Z,"6km NNW of Cabazon, California",earthquake
